store_num,slug,store_name,region
1,null,null,null
2,null,"Associated Food Stores - 11 Cooperative Way, Suncook",null
3,null,"Associated Food Stores - 488 Boulevard, Kenilworth",null
4,null,"Associated Food Stores - 130 Spruce St, Newark",null
5,null,"Associated Food Stores - 265 Ocean Ave, Jersey City",null
6,null,"Associated Food Stores - 543 Shaler Blvd, Ridgefield",null
7,null,"Associated Food Stores - 409 E Ave, New York",null
8,null,"Associated Food Stores - 1486 Lexington Av E 96th St, New York",null
9,null,"Associated Food Stores - 342 E 8th St, New York",null
10,null,"Associated Food Stores - 311 E 23rd St, New York",null
11,null,"Associated Food Stores - 278 Park Ave, S New York",null
12,null,"Associated Food Stores - 255 W 14th St Frnt 1, New York",null
13,null,"Associated Food Stores - 225 W 57th St, New York",null
14,null,"Associated Food Stores - 917 9th Ave, New York",null
15,null,"Associated Food Stores - 755 Amsterdam Ave, New York",null
16,null,"Associated Food Stores - 1565 1st Ave, New York",null
17,null,"Associated Food Stores - 448 Malcolm X Blvd, New York",null
18,null,"Associated Food Stores - 148 E 170th St, Bronx",null
19,null,"Associated Food Stores - 1136 Ogden Ave, Bronx",null
20,null,"Associated Food Stores - 148 E Burnside Ave, Bronx",null
21,null,"Associated Food Stores - 40 W Burnside Ave, Bronx",null
22,null,"Associated Food Stores - 4141 Laconia Ave, Bronx",null
23,null,"Associated Food Stores - 2467 Jerome Ave, Bronx",null
24,null,"Associated Food Stores - 529 S Broadway, Yonkers",null
25,null,"Associated Food Stores - 167 Tulip Ave, Floral Park",null
26,null,"Associated Food Stores - 24111 Linden Blvd, Elmont",null
27,null,"Associated Food Stores - 181 Middle Neck Rd, Great Neck",null
28,null,"Associated Food Stores - 20 Mott Ave # 50, Inwood",null
29,null,"Associated Food Stores - 1007 41st Ave, Long Island City",null
30,null,"Associated Food Stores - 3715 31st Ave, Astoria",null
31,null,"Associated Food Stores - 2016 21st Ave, Astoria",null
32,null,"Associated Food Stores - 5311 Church Ave, Brooklyn",null
33,null,"Associated Food Stores - 4121 Church Ave, Brooklyn",null
34,null,"Associated Food Stores - 97 Avenue O, Brooklyn",null
35,null,"Associated Food Stores - 492 Myrtle Ave, Brooklyn",null
36,null,"Associated Food Stores - 2578 Pitkin Ave, Brooklyn",null
37,null,"Associated Food Stores - 385 Broadway, Brooklyn",null
38,null,"Associated Food Stores - 639 Grand St, Brooklyn",null
39,null,"Associated Food Stores - 1038 Rutland Rd, Brooklyn",null
40,null,"Associated Food Stores - 243 Schenectady Ave, Brooklyn",null
41,null,"Associated Food Stores - 2323 86th St, Brooklyn",null
42,null,"Associated Food Stores - 216 5th Ave, Brooklyn",null
43,null,"Associated Food Stores - 108 New York Ave, Brooklyn",null
44,null,"Associated Food Stores - 5009 6th Ave, Brooklyn",null
45,null,"Associated Food Stores - 4910 8th Ave, Brooklyn",null
46,null,"Associated Food Stores - 301 Marcus Garvey Blvd, Brooklyn",null
47,null,"Associated Food Stores - 650 Flatbush Ave, Brooklyn",null
48,null,"Associated Food Stores - 905 Franklin Ave, Brooklyn",null
49,null,"Associated Food Stores - 2722 Church Ave, Brooklyn",null
50,null,"Associated Food Stores - 1413 Avenue J, Brooklyn",null
51,null,"Associated Food Stores - 229 Knickerbocker Ave, Brooklyn",null
52,null,"Associated Food Stores - 4502 Junction Blvd, Corona",null
53,null,"Associated Food Stores - 3907 103rd St, Corona",null
54,null,"Associated Food Stores - 8911 Northern Blvd, Jackson Heights",null
55,null,"Associated Food Stores - 8420 51st Ave Apt 3f, Elmhurst",null
56,null,"Associated Food Stores - 8210 Baxter Ave, Elmhurst",null
57,null,"Associated Food Stores - 5018 Skillman Ave, Woodside",null
58,null,"Associated Food Stores - 333 Seneca Ave, Ridgewood",null
59,null,"Associated Food Stores - 23008 Merrick Blvd, Springfield Gardens",null
60,null,"Associated Food Stores - 10116 77th St, Ozone Park",null
61,null,"Associated Food Stores - 13416 Liberty Ave, South Richmond Hill",null
62,null,"Associated Food Stores - 10858 Guy R Brewer Blvd, Jamaica",null
63,null,"Associated Food Stores - 1197 Grand Ave, Baldwin",null
64,null,"Associated Food Stores - 386 Fulton Ave, Hempstead",null
65,null,"Associated Food Stores - 1800 Rockaway Ave, Hewlett",null
66,null,"Associated Food Stores - 653 E Park Ave, Long Beach",null
67,null,"Associated Food Stores - 160 N Long Beach Rd, Rockville Centre",null
68,null,"Associated Food Stores - 214 Rockaway Ave, Valley Stream",null
69,null,"Associated Food Stores - 245 Beach 20th St, Far Rockaway",null
70,null,"Associated Food Stores - 20 Scott Gadell Pl # 50, Far Rockaway",null
71,null,"Associated Food Stores - 2050 Mott Ave, Far Rockaway",null
72,null,"Associated Food Stores - 615 Yakima Valley Hwy, Sunnyside",null
73,null,"Albertsons - 3710 N State Line Ave, Texarkana",null
74,null,"Albertsons - 8035 N 19th Ave, Phoenix",null
75,null,"Albertsons - 10665 N Tatum Blvd, Phoenix",null
76,null,"Albertsons - 18411 N Cave Creek Rd, Phoenix",null
77,null,"Albertsons - 4747 E Greenway Rd, Phoenix",null
78,null,"Albertsons - 7333 W Thomas Rd, Phoenix",null
