"Store","Folder","Date","Action","Destination"
"aldi","110325","2025-11-03","DRYRUN","D:\deals-4me-archive\flyers\aldi\110325"
"aldi","110225","2025-11-02","DRYRUN","D:\deals-4me-archive\flyers\aldi\110225"
"aldi","110125","2025-11-01","DRYRUN","D:\deals-4me-archive\flyers\aldi\110125"
"aldi","103025","2025-10-30","DRYRUN","D:\deals-4me-archive\flyers\aldi\103025"
"aldi","102925","2025-10-29","DRYRUN","D:\deals-4me-archive\flyers\aldi\102925"
"aldi","102625","2025-10-26","DRYRUN","D:\deals-4me-archive\flyers\aldi\102625"
"aldi","101925","2025-10-19","DRYRUN","D:\deals-4me-archive\flyers\aldi\101925"
"aldi","101225","2025-10-12","DRYRUN","D:\deals-4me-archive\flyers\aldi\101225"
"big_y","110525","2025-11-05","DRYRUN","D:\deals-4me-archive\flyers\big_y\110525"
"big_y","110325","2025-11-03","DRYRUN","D:\deals-4me-archive\flyers\big_y\110325"
"big_y","110225","2025-11-02","DRYRUN","D:\deals-4me-archive\flyers\big_y\110225"
"big_y","110125","2025-11-01","DRYRUN","D:\deals-4me-archive\flyers\big_y\110125"
"big_y","103025","2025-10-30","DRYRUN","D:\deals-4me-archive\flyers\big_y\103025"
"big_y","102925","2025-10-29","DRYRUN","D:\deals-4me-archive\flyers\big_y\102925"
"big_y","102625","2025-10-26","DRYRUN","D:\deals-4me-archive\flyers\big_y\102625"
"big_y","101225","2025-10-12","DRYRUN","D:\deals-4me-archive\flyers\big_y\101225"
"big_y","101025","2025-10-10","DRYRUN","D:\deals-4me-archive\flyers\big_y\101025"
"big_y","100525","2025-10-05","DRYRUN","D:\deals-4me-archive\flyers\big_y\100525"
"hannaford","110525","2025-11-05","DRYRUN","D:\deals-4me-archive\flyers\hannaford\110525"
"hannaford","110325","2025-11-03","DRYRUN","D:\deals-4me-archive\flyers\hannaford\110325"
"hannaford","110225","2025-11-02","DRYRUN","D:\deals-4me-archive\flyers\hannaford\110225"
"hannaford","110125","2025-11-01","DRYRUN","D:\deals-4me-archive\flyers\hannaford\110125"
"hannaford","103125","2025-10-31","DRYRUN","D:\deals-4me-archive\flyers\hannaford\103125"
"hannaford","103025","2025-10-30","DRYRUN","D:\deals-4me-archive\flyers\hannaford\103025"
"hannaford","102925","2025-10-29","DRYRUN","D:\deals-4me-archive\flyers\hannaford\102925"
"hannaford","102625","2025-10-26","DRYRUN","D:\deals-4me-archive\flyers\hannaford\102625"
"hannaford","101925","2025-10-19","DRYRUN","D:\deals-4me-archive\flyers\hannaford\101925"
"hannaford","101725","2025-10-17","DRYRUN","D:\deals-4me-archive\flyers\hannaford\101725"
"hannaford","101225","2025-10-12","DRYRUN","D:\deals-4me-archive\flyers\hannaford\101225"
"hannaford","100925","2025-10-09","DRYRUN","D:\deals-4me-archive\flyers\hannaford\100925"
"hannaford","100525","2025-10-05","DRYRUN","D:\deals-4me-archive\flyers\hannaford\100525"
"logs","102625","2025-10-26","DRYRUN","D:\deals-4me-archive\flyers\logs\102625"
"market_basket","110525","2025-11-05","DRYRUN","D:\deals-4me-archive\flyers\market_basket\110525"
"market_basket","110325","2025-11-03","DRYRUN","D:\deals-4me-archive\flyers\market_basket\110325"
"market_basket","110225","2025-11-02","DRYRUN","D:\deals-4me-archive\flyers\market_basket\110225"
"market_basket","110125","2025-11-01","DRYRUN","D:\deals-4me-archive\flyers\market_basket\110125"
"market_basket","103025","2025-10-30","DRYRUN","D:\deals-4me-archive\flyers\market_basket\103025"
"market_basket","102925","2025-10-29","DRYRUN","D:\deals-4me-archive\flyers\market_basket\102925"
"market_basket","102625","2025-10-26","DRYRUN","D:\deals-4me-archive\flyers\market_basket\102625"
"market_basket","101925","2025-10-19","DRYRUN","D:\deals-4me-archive\flyers\market_basket\101925"
"market_basket","101225","2025-10-12","DRYRUN","D:\deals-4me-archive\flyers\market_basket\101225"
"market_basket","101025","2025-10-10","DRYRUN","D:\deals-4me-archive\flyers\market_basket\101025"
"market_basket","100525","2025-10-05","DRYRUN","D:\deals-4me-archive\flyers\market_basket\100525"
"price_chopper_market_32","110525","2025-11-05","DRYRUN","D:\deals-4me-archive\flyers\price_chopper_market_32\110525"
"price_chopper_market_32","110325","2025-11-03","DRYRUN","D:\deals-4me-archive\flyers\price_chopper_market_32\110325"
"price_chopper_market_32","110225","2025-11-02","DRYRUN","D:\deals-4me-archive\flyers\price_chopper_market_32\110225"
"price_chopper_market_32","110125","2025-11-01","DRYRUN","D:\deals-4me-archive\flyers\price_chopper_market_32\110125"
"price_chopper_market_32","103025","2025-10-30","DRYRUN","D:\deals-4me-archive\flyers\price_chopper_market_32\103025"
"price_chopper_market_32","102925","2025-10-29","DRYRUN","D:\deals-4me-archive\flyers\price_chopper_market_32\102925"
"price_chopper_market_32","102625","2025-10-26","DRYRUN","D:\deals-4me-archive\flyers\price_chopper_market_32\102625"
"price_chopper_market_32","101225","2025-10-12","DRYRUN","D:\deals-4me-archive\flyers\price_chopper_market_32\101225"
"price_chopper_market_32","101025","2025-10-10","DRYRUN","D:\deals-4me-archive\flyers\price_chopper_market_32\101025"
"price_chopper_market_32","100525","2025-10-05","DRYRUN","D:\deals-4me-archive\flyers\price_chopper_market_32\100525"
"pricerite","110325","2025-11-03","DRYRUN","D:\deals-4me-archive\flyers\pricerite\110325"
"pricerite","110225","2025-11-02","DRYRUN","D:\deals-4me-archive\flyers\pricerite\110225"
"pricerite","110125","2025-11-01","DRYRUN","D:\deals-4me-archive\flyers\pricerite\110125"
"pricerite","103025","2025-10-30","DRYRUN","D:\deals-4me-archive\flyers\pricerite\103025"
"pricerite","102925","2025-10-29","DRYRUN","D:\deals-4me-archive\flyers\pricerite\102925"
"pricerite","102625","2025-10-26","DRYRUN","D:\deals-4me-archive\flyers\pricerite\102625"
"pricerite","101925","2025-10-19","DRYRUN","D:\deals-4me-archive\flyers\pricerite\101925"
"pricerite","101225","2025-10-12","DRYRUN","D:\deals-4me-archive\flyers\pricerite\101225"
"roche_bros","110525","2025-11-05","DRYRUN","D:\deals-4me-archive\flyers\roche_bros\110525"
"roche_bros","110325","2025-11-03","DRYRUN","D:\deals-4me-archive\flyers\roche_bros\110325"
"roche_bros","110225","2025-11-02","DRYRUN","D:\deals-4me-archive\flyers\roche_bros\110225"
