store_num,product_id,upc,regular_price,sale_price,multi_buy,multi_price,promo_text,sale_start,sale_end,unit_price,unit_size
22865,,,,8.99,,,10 Count 13 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,6.99,,,13.1-22.3 oz,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,10 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,2.49,,,Cut Fresh Daily,"October 5, 2025","October 11, 2025",,
22865,,,,4.99,,,20 oz. cont.,"October 5, 2025","October 11, 2025",,
22865,,,,12.99,,,22.6-25.6 oz.,"October 5, 2025","October 11, 2025",,
22865,,,,6.59,,,"24 oz. 8 inch
Half Pie $4.39 Save 50¢","October 5, 2025","October 11, 2025",,
22865,,,,5.99,,,12 oz. 8 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,8.99,,,,"October 5, 2025","October 11, 2025",,
22865,,,,1.99,,,,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,"15 oz. 4 Pack
Back for the Season!","October 5, 2025","October 11, 2025",,
22865,,,,99.0,,,12 oz. pkg. 6 Pack,"October 5, 2025","October 11, 2025",,
22865,,,,4.99,,,Antibiotic Free,"October 5, 2025","October 11, 2025",,
22865,,,,5.99,,,"Certified Angus Beef
USDA Choice, Fresh Cut Daily","October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,"5 Varieties
Sliced fresh as desired","October 5, 2025","October 11, 2025",,
22865,,,,9.99,,,"Regular, Italian","October 5, 2025","October 11, 2025",,
22865,,,,6.99,,,,"October 5, 2025","October 11, 2025",,
22865,,,,8.99,,,Made with the freshest &amp; finest ingredients,"October 5, 2025","October 11, 2025",,
22865,,,,6.99,,,Previously Frozen,"October 5, 2025","October 11, 2025",,
22865,,,,9.99,,,"Wild, All Natural","October 5, 2025","October 11, 2025",,
22865,,,,39.0,,,,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,"6 oz. pkg.
Full of Vitamins &amp; Minerals!","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,"20.5-21 oz. USDA Organic
Thin Sliced","October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,5 Lb. Bag,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,18.8 oz. box Family Size,"October 5, 2025","October 11, 2025",,
22865,,,,4.99,,,14.5 oz. bag,"October 5, 2025","October 11, 2025",,
22865,,,,6.99,,,"20 oz. btls 8 Pack
18 Varieties","October 5, 2025","October 11, 2025",,
22865,,,,5.99,,,89 oz. btl. Calcium,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,one gallon,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,"8.8-14 oz.
All Varieties","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,"19-32 oz. pkg. Frozen
Quick Cook 20 oz.","October 5, 2025","October 11, 2025",,
22865,,,,2.99,,,"8 oz. pkg. Original, Dill","October 5, 2025","October 11, 2025",,
22865,,,,4.79,,,"12 oz. 6 Pack
Frosted, Glazed","October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,"9 oz. pkg. 3 Varieties
USDA Organic","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,12-16 oz. 2 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,1.99,,,Late Season,"October 5, 2025","October 11, 2025",,
22865,,,,1.49,,,,"October 5, 2025","October 11, 2025",,
22865,,,,4.49,,,1 lb. pkg.,"October 5, 2025","October 11, 2025",,
22865,,,,2.29,,,"5-11 oz. pkg.
7 Varieties","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,,"October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,"5 oz. pkg. 8 Varieties
USDA Organic","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,"16 oz. Whole, Sliced","October 5, 2025","October 11, 2025",,
22865,,,,99.0,,,,"October 5, 2025","October 11, 2025",,
22865,,,,4.99,,,3 lb. bag. 3 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,3.99,,,"15 oz. 7 Varieties
Made in NH!","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,"12 oz. btl. Plant Protein
7 Varieties","October 5, 2025","October 11, 2025",,
22865,,,,2.0,,,13 oz. 6 Varieties,"October 5, 2025","October 11, 2025",,
22865,,,,8.99,,,6 Inch Pot,"October 5, 2025","October 11, 2025",,
22865,,,,4.99,,,5 Stems,"October 5, 2025","October 11, 2025",,
22865,,,,10.99,,,4 Inch Pot,"October 5, 2025","October 11, 2025",,
22865,,,,5.99,,,18.4-22 oz. ,"October 5, 2025","October 11, 2025",,
22865,,,,3.49,,,,"October 5, 2025","October 11, 2025",,
22865,,,,3.49,,,"Boneless
Hardwood Smoked","October 5, 2025","October 11, 2025",,
