"Store","Old","New","Action","Reason"
"_inbox","110225","110225","NoChange","Already aligned"
"aldi","101725","101225","Preview","DryRun"
"aldi","102225","101925","Preview","DryRun"
"aldi","102625","102625","NoChange","Already aligned"
"aldi","102925","102625","Skip","Destination exists"
"big_y","100925","100525","Preview","DryRun"
"big_y","101025","100525","Preview","DryRun"
"big_y","101725","101225","Preview","DryRun"
"big_y","102625","102625","NoChange","Already aligned"
"big_y","103025","102625","Skip","Destination exists"
"hannaford","100525","100525","NoChange","Already aligned"
"hannaford","100925","100525","Skip","Destination exists"
"hannaford","101625","101225","Preview","DryRun"
"hannaford","101725","101225","Preview","DryRun"
"hannaford","101925","101925","NoChange","Already aligned"
"hannaford","102625","102625","NoChange","Already aligned"
"hannaford","110225","110225","NoChange","Already aligned"
"logs","102625","102625","NoChange","Already aligned"
"logs","110225","110225","NoChange","Already aligned"
"market_basket","100525","100525","NoChange","Already aligned"
"market_basket","101025","100525","Skip","Destination exists"
"market_basket","101725","101225","Preview","DryRun"
"market_basket","101925","101925","NoChange","Already aligned"
"market_basket","102625","102625","NoChange","Already aligned"
"market_basket","110225","110225","NoChange","Already aligned"
"price_chopper_market_32","100525","100525","NoChange","Already aligned"
"price_chopper_market_32","101025","100525","Skip","Destination exists"
"price_chopper_market_32","101725","101225","Preview","DryRun"
"price_chopper_market_32","102625","102625","NoChange","Already aligned"
"price_chopper_market_32","110225","110225","NoChange","Already aligned"
"pricerite","101725","101225","Preview","DryRun"
"pricerite","102225","101925","Preview","DryRun"
"pricerite","102625","102625","NoChange","Already aligned"
"pricerite","110225","110225","NoChange","Already aligned"
"roche_bros","101025","100525","Preview","DryRun"
"roche_bros","101725","101225","Preview","DryRun"
"roche_bros","102625","102625","NoChange","Already aligned"
"roche_bros","103125","102625","Skip","Destination exists"
"shaws","101025","100525","Preview","DryRun"
"shaws","101725","101225","Preview","DryRun"
"shaws","101925","101925","NoChange","Already aligned"
"shaws","102625","102625","NoChange","Already aligned"
"shaws","102925","102625","Skip","Destination exists"
"shaws","103125","102625","Skip","Destination exists"
"sprouts","102625","102625","NoChange","Already aligned"
"sprouts","102925","102625","Skip","Destination exists"
"sprouts","110225","110225","NoChange","Already aligned"
"stop_and_shop","101025","100525","Preview","DryRun"
"stop_and_shop","101725","101225","Preview","DryRun"
"stop_and_shop","102325","101925","Preview","DryRun"
"stop_and_shop","102625","102625","NoChange","Already aligned"
"stop_and_shop","103125","102625","Skip","Destination exists"
"stop_and_shop_ct","103125","102625","Preview","DryRun"
"stop_and_shop_mari","103125","102625","Preview","DryRun"
"stopandshop","102625","102625","NoChange","Already aligned"
"stopandshop","103125","102625","Skip","Destination exists"
"stopandshop","110125","102625","Skip","Destination exists"
"trucchis","102625","102625","NoChange","Already aligned"
"wegmans","101825","101225","Preview","DryRun"
"wegmans","102625","102625","NoChange","Already aligned"
"wegmans","110225","110225","NoChange","Already aligned"
"whole_foods","101025","100525","Preview","DryRun"
"whole_foods","101725","101225","Preview","DryRun"
"whole_foods","102625","102625","NoChange","Already aligned"
"whole_foods","102925","102625","Skip","Destination exists"
